encoder,pretty_encoder,family,n_samples,in_raw_pool,in_analytical_pool,R5,n_R5,rho5,mean_rho5,R10,n_R10,rho10,mean_rho10,R20,n_R20,rho20,mean_rho20,R50,n_R50,rho50,mean_rho50,R100,n_R100,rho100,mean_rho100,R200,n_R200,rho200,mean_rho200,R500,n_R500,rho500,mean_rho500,delta_R_10_200,conditional_collapse_10_200,conditional_collapse_10_200_pp,n_pass10_common,n_common_10_200,bar_lambda,bar_kappa,bar_tau10,bar_rho10,rho10_q75,rho10_q90,rho10_iqr,rho10_mad,median_Lp,median_raw_gap_10,median_D_pgd10,median_D_fgsm,aggregate_delta_R_10_200,aggregate_baseline_src
dino_vits16,DINO ViT-S/16,Self-supervised DINO / DINOv2,909,True,True,69.96699669966998,909,0.1273916946931397,0.1546731947035597,69.3069306930693,909,0.16208680842968137,0.2005101186288338,68.2068206820682,909,0.17963421983525496,0.22883285581907722,68.0968096809681,909,0.19120865616643057,0.25605095383450144,67.65676567656766,909,0.19689005923328295,0.27276983513882136,67.32673267326733,909,0.19863495586237256,0.2845583075719484,67.32673267326733,909,0.1994873992129529,0.2898533798039899,1.9801980198019749,0.02857142857142857,2.857142857142857,630,909,1.695979118347168,0.09630795076650145,0.04444894194602966,0.16208680842968137,0.2649512781830987,0.38799286673885164,0.1701148188824264,0.07807442405767873,32.21938705444336,4.95704003896202,33.81147764027082,27.41104205824604,1.9801980198019709,day1
dinov2_vitb14,dinov2_vitb14,Self-supervised DINO / DINOv2,963,True,True,,0,,,67.39356178608516,963,0.3538796481573385,0.443471613694965,61.37071651090342,963,0.44623232572696025,0.621273883199556,53.271028037383175,963,0.5763753445192776,0.8808032142920218,,0,,,45.794392523364486,963,0.7903351458079726,1.26776538652537,,0,,,21.59916926272067,0.3204930662557781,32.04930662557781,649,963,1.7361277341842651,0.24376929804776282,0.11452000588178635,0.3538796481573385,0.548894084600734,0.8266363198248106,0.3025892085858459,0.13759674481089235,8.075526237487793,3.1753885722670336,9.041195863466612,5.646700881818592,21.599169262720668,day1
dinov2_vitl14,dinov2_vitl14,Self-supervised DINO / DINOv2,965,True,True,80.51813471502591,965,0.27204142313240887,0.3372571532665615,74.09326424870466,965,0.41396509017442185,0.6003696759460998,67.15025906735751,965,0.5541046906482388,0.889576268743855,56.06217616580311,965,0.7792274701002304,1.3996800435054073,49.94818652849741,965,0.9430350711920035,1.7408936108868356,46.32124352331606,965,1.174332169479797,2.093157527181403,,0,,,27.772020725388593,0.3748251748251748,37.48251748251748,715,965,2.2855608463287354,0.2697423130825882,0.13966944813728333,0.41396509017442185,0.7002411324471991,1.1707719045304097,0.4371196950852685,0.1865893095253881,5.2310872077941895,2.579941839970914,6.348202693126041,3.4473400907000014,27.772020725388597,expanded_pool
dinov2_vits14,dinov2_vits14,Self-supervised DINO / DINOv2,924,True,True,62.55411255411255,924,0.18891066134497336,0.21888605596374533,56.709956709956714,924,0.27744738928138035,0.34815046595410315,51.73160173160173,924,0.34446459073259206,0.4760072530612108,45.67099567099567,924,0.42154137603816544,0.6366512875782803,42.532467532467535,924,0.4833895266950301,0.7742457397568691,40.476190476190474,924,0.5257392770968075,0.8980738792700994,,0,,,16.23376623376624,0.2862595419847328,28.62595419847328,524,924,1.3582487106323242,0.12829182829600944,0.12448494136333466,0.27744738928138035,0.44790277461748906,0.713421856160244,0.2913934553825852,0.13693708816842076,10.890130996704102,3.132945738796513,12.761235298096988,9.159960816225649,16.233766233766232,expanded_pool
efficientnet_b0,EfficientNet-B0,EfficientNet / DenseNet / MobileNet / Mixer,923,True,True,66.30552546045504,923,0.13618158375859224,0.16282237004272107,64.24702058504876,923,0.1848166118650596,0.23098006036728322,62.8385698808234,923,0.20484806293075408,0.2702336910179445,61.32177681473456,923,0.22151044123572827,0.29839176122955346,61.105092091007585,923,0.22733558655716735,0.31079695780683403,60.88840736728061,923,0.2279139491617279,0.31697580210135584,,0,,,3.358613217768152,0.05227655986509275,5.227655986509275,593,923,1.6553874015808105,0.08669203264706682,0.08934681862592697,0.1848166118650596,0.2934595747274291,0.42637043781340334,0.1688761476697751,0.07505736935633944,4.492032527923584,0.862777602899659,5.120311262183628,4.11685354033697,3.358613217768147,day1
efficientnet_b1,efficientnet_b1,EfficientNet / DenseNet / MobileNet / Mixer,932,True,True,,0,,,67.16738197424893,932,0.22543135417120386,0.29108601010903995,65.98712446351931,932,0.255801004504937,0.34447546825855396,65.34334763948499,932,0.2765549401310614,0.3806460707918038,,0,,,64.69957081545064,932,0.2841430359780608,0.40616125998199404,,0,,,2.467811158798284,0.036741214057507986,3.6741214057507987,626,932,2.260969638824463,0.04795755942856217,0.1683269366621971,0.22543135417120386,0.3429580873283573,0.5613068372536961,0.19942620439766756,0.09331725053150008,3.5719085931777954,0.8751871760824728,4.553989898491821,3.4723358283000367,2.467811158798283,expanded_pool
efficientnet_b3,efficientnet_b3,EfficientNet / DenseNet / MobileNet / Mixer,936,True,True,,0,,,58.76068376068376,936,0.45681465954810996,0.6586425426487589,52.991452991452995,936,0.5697545688449179,0.9332013634893235,46.47435897435898,936,0.6552547163859028,1.2229343248254056,,0,,,42.73504273504273,936,0.7588750533034148,1.4788686700642464,,0,,,16.02564102564103,0.2727272727272727,27.27272727272727,550,936,2.2689300775527954,0.09142958842249627,0.3714921623468399,0.45681465954810996,0.7581180597210666,1.3379747822827408,0.5086276640888319,0.22791193104891505,3.572726845741272,1.8840962248596549,5.7716944078745165,3.383450597494419,16.02564102564103,expanded_pool
mixer_b16_224,mixer_b16_224,EfficientNet / DenseNet / MobileNet / Mixer,912,True,True,,0,,,66.00877192982456,912,0.42511100753630693,0.6316775543175289,57.675438596491226,912,0.5851929657906845,0.8641115531282567,51.64473684210527,912,0.709829124054334,1.0777844032294768,,0,,,48.24561403508772,912,0.8395800575932055,1.258025498115102,,0,,,17.763157894736842,0.2691029900332226,26.910299003322258,602,912,2.1196833848953247,0.06732389426159724,0.35165029764175415,0.42511100753630693,0.8322250521323156,1.4494617711256494,0.628332718074639,0.2613967524739369,4.535369873046875,2.12316759268774,6.794976843176656,3.9105877692265407,17.763157894736842,expanded_pool
mobilenetv3_large_100,mobilenetv3_large_100,EfficientNet / DenseNet / MobileNet / Mixer,911,True,True,,0,,,39.40724478594951,911,0.3222784052292589,0.34831697815454105,37.54116355653128,911,0.35473053112350694,0.3967933003069732,35.67508232711306,911,0.38111873357562165,0.43604663887099904,,0,,,34.357848518111965,911,0.401643512602301,0.4695945799113101,,0,,,5.049396267837544,0.12813370473537605,12.813370473537605,359,911,0.7812116146087646,0.3802400385734064,-0.05985191836953163,0.3222784052292589,0.41410004893994845,0.5138716761590221,0.1581782805386357,0.07678245906139125,11.617469787597656,3.7877209012896933,11.018914215156364,6.9883233654237005,5.049396267837541,expanded_pool
resnet101,resnet101,ResNet / Wide-ResNet,932,True,True,,0,,,59.65665236051502,932,0.4129505236230564,0.46580163183682816,54.93562231759657,932,0.48566391996258185,0.5626819493120295,51.39484978540773,932,0.551121750664923,0.661150539930131,,0,,,46.78111587982833,932,0.611523996174486,0.7704780378059333,,0,,,12.87553648068669,0.2158273381294964,21.58273381294964,556,932,1.2855631113052368,0.5129656459964844,-0.08396865427494049,0.4129505236230564,0.5503300500842803,0.6969979736716322,0.21991003643068163,0.09712790255534909,6.19342565536499,2.780972190224211,5.946348172685953,3.028427129545019,12.875536480686689,expanded_pool
resnet152,resnet152,ResNet / Wide-ResNet,951,True,True,,0,,,61.40904311251314,951,0.41279475535225707,0.45472058190055686,56.782334384858046,951,0.4810181184688247,0.5485242596502414,52.15562565720294,951,0.5462691247459706,0.6450273361128893,,0,,,47.52891692954784,951,0.6407146913732009,0.77181173073335,,0,,,13.880126182965299,0.22602739726027396,22.602739726027394,584,951,1.2572914361953735,0.5391650195472426,-0.11631496995687485,0.41279475535225707,0.5297364889871863,0.678433360115291,0.20255534172962597,0.09219294173681725,6.405669689178467,2.8030713613975715,5.92900559217766,2.9856511365019474,13.880126182965297,expanded_pool
resnet18,resnet18,ResNet / Wide-ResNet,892,True,True,49.55156950672646,892,0.2124295665813386,0.22374497915421107,44.61883408071749,892,0.2881964756350332,0.30898013972858285,43.04932735426009,892,0.32061109275423716,0.3466341717575811,41.92825112107623,892,0.3398828743605755,0.372696610988919,41.92825112107623,892,0.3477465738955836,0.3852422998755758,41.47982062780269,892,0.3513758055518973,0.39432109673335214,,0,,,3.139013452914803,0.07035175879396985,7.035175879396985,398,892,0.8381259739398956,0.35393801540771364,-0.06490116566419601,0.2881964756350332,0.3566734265997313,0.44163862337414406,0.1237272630476165,0.06061915473390567,7.535820484161377,2.1742279929306307,7.195612159321769,4.764381370912584,3.139013452914802,day1
resnet34,resnet34,ResNet / Wide-ResNet,923,True,True,,0,,,52.22101841820152,923,0.3867724140754234,0.4454496541045727,49.729144095341276,923,0.4485667107245437,0.5202629091077532,47.77898158179848,923,0.4874969420996651,0.5789814740892429,,0,,,45.17876489707476,923,0.5275182269517265,0.6434410192100766,,0,,,7.04225352112676,0.13485477178423236,13.485477178423237,482,923,1.2128175497055054,0.3867657510399516,0.015811830759048462,0.3867724140754234,0.5376642922353296,0.7430433417655309,0.24867895377357208,0.11442255854882077,5.7748894691467285,2.41275841472292,6.157985632757885,3.5241112478736567,7.0422535211267565,expanded_pool
resnet50_timm,resnet50_timm,ResNet / Wide-ResNet,928,True,True,61.422413793103445,928,0.27856384630877296,0.3016107195250358,52.1551724137931,928,0.4111454965732778,0.45397906150051104,46.65948275862069,928,0.4826036294431906,0.5384634445989029,44.18103448275862,928,0.5398020504428754,0.6082580830551434,42.133620689655174,928,0.572380340062317,0.6491715825724264,40.73275862068966,928,0.5998917933750464,0.6833282554352944,,0,,,11.422413793103445,0.2190082644628099,21.90082644628099,484,928,1.0025975704193115,0.5198332314160435,-0.11250781267881393,0.4111454965732778,0.5320613201061186,0.6703271102565718,0.20239041916795975,0.0943184343696315,7.54415488243103,3.2168433375485495,6.899545432826002,3.5236213498878506,11.422413793103448,day1
swin_base_patch4_window7_224,Swin-B,Swin / SwinV2,960,True,True,73.54166666666667,960,0.3896451259333489,0.5380195994326734,51.45833333333333,960,0.9405520446487394,1.1585768624853765,27.8125,960,1.3697117542655555,1.6801312143870026,12.5,960,1.8578315413983209,2.194254500526498,7.604166666666666,960,2.0820584290641655,2.5438457734050934,6.041666666666667,960,2.3746011696605986,2.8431430281528143,5.3125,960,2.649807540569284,3.1520024342278345,45.416666666666664,0.8825910931174089,88.25910931174089,494,960,1.360593318939209,0.7721982326699214,0.2652995139360428,0.9405520446487394,1.571689125121301,2.2741195083277645,1.0551960154268833,0.4905593221276421,6.031148910522461,6.575598785226273,8.394778346973965,1.21180748022431,45.41666666666666,expanded_pool
swin_small_patch4_window7_224,swin_small_patch4_window7_224,Swin / SwinV2,959,True,True,,0,,,52.55474452554745,959,0.5597570826468057,0.7302018072635597,30.656934306569344,959,0.8676297997632088,1.0733948208501167,12.825860271115747,959,1.1528599873242467,1.4374953745790329,,0,,,5.839416058394161,959,1.5314328914481457,1.9023314758843581,,0,,,46.715328467153284,0.8888888888888888,88.88888888888889,504,959,0.794721782207489,0.8843634454761342,-0.2531311810016632,0.5597570826468057,0.948850492750847,1.413700654192283,0.5895332489302523,0.2528931537332517,10.71793270111084,6.873933952240902,8.37821870359457,0.9118366508191912,46.71532846715329,expanded_pool
swin_tiny_patch4_window7_224,swin_tiny_patch4_window7_224,Swin / SwinV2,950,True,True,,0,,,40.63157894736842,950,0.6743491233879824,0.8207867934555858,23.57894736842105,950,0.9379047542027628,1.1680869472357571,13.368421052631579,950,1.2763178323374094,1.5902276013100758,,0,,,7.368421052631578,950,1.7917534958363737,2.1882401536919565,,0,,,33.26315789473684,0.8186528497409327,81.86528497409327,386,950,0.9433563351631165,0.6971283979194229,0.08766432479023933,0.6743491233879824,0.9961968836049765,1.4921874737351815,0.5556880603556719,0.264584508204181,8.962016582489014,6.918725429843512,9.765428568074178,2.401125314349204,33.263157894736835,expanded_pool
swinv2_tiny_window8_256,SwinV2-Tiny,Swin / SwinV2,961,True,True,66.59729448491156,961,0.3511559551364094,0.43185855357401687,44.22476586888658,961,0.7491039886178481,0.919205587308676,24.24557752341311,961,1.1164628526946743,1.3928437830798734,10.718002081165452,961,1.550833550752941,1.9439222820095172,6.971904266389179,961,1.879531370537288,2.3390573765907527,4.890738813735692,961,2.1692845441892894,2.7071358297849586,,0,,,39.334027055150884,0.8894117647058823,88.94117647058823,425,961,1.0367459058761597,0.7595453052335612,0.06474626809358597,0.7491039886178481,1.1404430515295871,1.6838527115175288,0.637100109815131,0.30219516333440244,8.041009902954102,6.918035614277956,8.937543860873802,1.6321925327013582,39.33402705515089,expanded_pool
vit_base_patch16_224,ViT-B/16,Supervised ViT / DeiT / DeiT3,967,True,True,80.86866597724922,967,0.30895497065450783,0.3524461548509826,60.082730093071355,967,0.6797824929813953,0.8063279825770511,37.435367114788,967,1.046219356441398,1.2167436702910837,18.510858324715613,967,1.4126245020748671,1.6203078583679893,11.582213029989658,967,1.6468225307388877,1.8741374588535054,8.376421923474664,967,1.8480216534081677,2.0807183267388853,5.894519131334023,967,2.031993894290114,2.2683590398674762,51.70630816959669,0.8605851979345955,86.05851979345955,581,967,1.113892674446106,0.8219619256146284,-0.08913105726242065,0.6797824929813953,1.0199926073090242,1.437493172532982,0.5626642098915167,0.263681872924337,9.457230567932129,7.249782586528931,9.289336204832125,1.4799395015850279,51.706308169596696,expanded_pool
