backbone,eps,eps_tag,rho10,tau10,lambda10,R10,n10,R100,n100,DeltaR_10_100
resnet50_timm,0.000980392156862745,eps025centi_255,0.3150170898212885,-0.14463602006435394,1.0796412229537964,60.23706896551724,928,52.58620689655172,928,7.650862068965516
swin_base_patch4_window7_224,0.000980392156862745,eps025centi_255,0.7075332520858504,0.29479530453681946,1.9773487448692322,60.0,960,33.541666666666664,960,26.458333333333336
swin_small_patch4_window7_224,0.000980392156862745,eps025centi_255,0.507745979596117,-0.10816507786512375,1.263013482093811,58.70698644421272,959,30.34410844629823,959,28.362877997914488
swin_tiny_patch4_window7_224,0.000980392156862745,eps025centi_255,0.5251076120493336,0.16009414196014404,1.263467013835907,49.684210526315795,950,30.0,950,19.684210526315795
swinv2_tiny_window8_256,0.000980392156862745,eps025centi_255,0.6560594527650061,0.14474865794181824,1.2513349056243896,47.55463059313215,961,20.915712799167537,961,26.638917793964616
vit_base_patch16_224,0.000980392156862745,eps025centi_255,0.5387092577927959,0.07419116050004959,1.9700735807418823,71.87176835573939,967,50.568769389865565,967,21.302998965873826
vit_small_patch16_224,0.000980392156862745,eps025centi_255,0.18633137225334329,-0.047141341492533684,1.9253068566322327,76.85589519650655,916,74.235807860262,916,2.620087336244552
vit_tiny_patch16_224,0.000980392156862745,eps025centi_255,0.22514681810421444,-0.21432992815971375,0.7968240976333618,58.08988764044943,890,54.831460674157306,890,3.2584269662921272
wide_resnet50_2,0.000980392156862745,eps025centi_255,0.34987138776133975,-0.021719105541706085,1.7195024490356445,67.68743400211193,947,60.71805702217529,947,6.969376979936641
clip_rn101,0.0014705882352941176,eps038centi_255,0.20906626827403052,-0.6705377995967865,0.1513897180557251,5.848623853211009,872,0.45871559633027525,872,5.389908256880734
clip_rn50,0.0014705882352941176,eps038centi_255,0.24156156590750477,-0.6092320680618286,0.13150157034397125,1.762632197414806,851,0.0,851,1.762632197414806
clip_vit_l14,0.0014705882352941176,eps038centi_255,0.23359766951855931,-0.5921840071678162,0.2962765097618103,27.911857292759706,953,7.869884575026233,953,20.041972717733472
clip_vitb16,0.0014705882352941176,eps038centi_255,0.39414991691836665,-0.20353259146213531,0.46748417615890503,15.01632208922742,919,5.549510337323178,919,9.466811751904242
convnext_base,0.0014705882352941176,eps038centi_255,0.5513313311966177,0.16280663013458252,1.625054121017456,57.44016649323621,961,36.8366285119667,961,20.60353798126951
convnext_large,0.0014705882352941176,eps038centi_255,0.43319091681647626,-0.2676476240158081,0.9669736623764038,58.82352941176471,969,35.81011351909184,969,23.013415892672867
convnext_small,0.0014705882352941176,eps038centi_255,0.4817770640391079,-0.09307190775871277,0.9395908713340759,48.704663212435236,965,31.917098445595855,965,16.78756476683938
convnext_tiny,0.0014705882352941176,eps038centi_255,0.552797045629899,-0.06471680104732513,0.8113762736320496,39.34942287513116,953,23.504721930745013,953,15.844700944386148
deit3_large_patch16_224,0.0014705882352941176,eps038centi_255,0.38392348871202486,-0.04501338675618172,2.6841399669647217,81.64102564102565,975,71.38461538461539,975,10.256410256410263
deit3_medium_patch16_224,0.0014705882352941176,eps038centi_255,0.8602970949046691,0.47359779477119446,1.25484299659729,32.21052631578947,950,12.31578947368421,950,19.89473684210526
deit3_small_patch16_224,0.0014705882352941176,eps038centi_255,0.4083113195859972,0.0579056516289711,1.3827115297317505,55.17970401691332,946,45.13742071881607,946,10.042283298097253
deit3_vitb16,0.0014705882352941176,eps038centi_255,0.39894984349349016,0.12305164337158203,2.494499683380127,73.20872274143302,963,66.35514018691589,963,6.853582554517132
deit_base_patch16_224,0.0014705882352941176,eps038centi_255,0.6074977560826453,0.2127024531364441,1.6141160726547241,53.934942287513124,953,34.41762854144806,953,19.517313746065064
deit_small_patch16_224,0.0014705882352941176,eps038centi_255,0.4520082808317294,0.04217798449099064,1.3568288087844849,55.47210300429185,932,41.52360515021459,932,13.94849785407726
deit_tiny,0.0014705882352941176,eps038centi_255,0.3670495373812557,0.002748766215518117,0.7685527205467224,35.367231638418076,885,25.423728813559322,885,9.943502824858754
densenet121,0.0014705882352941176,eps038centi_255,0.3105129929764465,-0.10911964625120163,0.5916360020637512,28.3205268935236,911,23.380900109769485,911,4.939626783754115
densenet201,0.0014705882352941176,eps038centi_255,0.2582395423618067,-0.12235065549612045,0.6203979253768921,33.04628632938644,929,26.80301399354144,929,6.243272335844999
dino_resnet50,0.0014705882352941176,eps038centi_255,0.31234929871783956,-0.15011878311634064,0.5156850218772888,21.98421645997745,887,14.768883878241262,887,7.215332581736188
dino_vitb16,0.0014705882352941176,eps038centi_255,0.13026791139645155,0.018255358561873436,1.6352323293685913,69.46564885496184,917,67.72082878953108,917,1.7448200654307584
dino_vitb8,0.0014705882352941176,eps038centi_255,0.11798653032164452,0.09446442499756813,1.750012993812561,68.27956989247312,930,65.91397849462366,930,2.3655913978494567
dino_vits16,0.0014705882352941176,eps038centi_255,0.14717658776956632,0.03922060504555702,1.322117567062378,59.515951595159514,909,56.76567656765676,909,2.7502750275027523
dinov2_vitb14,0.0014705882352941176,eps038centi_255,0.3174407783624016,0.14000985026359558,1.33484947681427,53.89408099688473,963,44.34060228452752,963,9.553478712357212
dinov2_vitl14,0.0014705882352941176,eps038centi_255,0.39199952102481284,0.15529292821884155,1.8184301853179932,65.80310880829016,965,49.637305699481864,965,16.165803108808298
dinov2_vits14,0.0014705882352941176,eps038centi_255,0.23953854154470333,0.11338011920452118,1.0308703780174255,44.047619047619044,924,35.93073593073593,924,8.116883116883116
efficientnet_b0,0.0014705882352941176,eps038centi_255,0.2054546121469647,0.09912876784801483,1.2566394805908203,51.89599133261105,923,50.05417118093174,923,1.8418201516793076
efficientnet_b1,0.0014705882352941176,eps038centi_255,0.25701165341017296,0.19835729897022247,1.6868340373039246,56.00858369098712,932,53.648068669527895,932,2.3605150214592285
efficientnet_b3,0.0014705882352941176,eps038centi_255,0.4446003799390734,0.38133303821086884,1.7153945565223694,48.717948717948715,936,40.17094017094017,936,8.547008547008545
mixer_b16_224,0.0014705882352941176,eps038centi_255,0.32334781376717125,0.2747296243906021,1.6451741456985474,54.385964912280706,912,46.92982456140351,912,7.456140350877199
mobilenetv3_large_100,0.0014705882352941176,eps038centi_255,0.28419272931996886,-0.07151976227760315,0.5960339903831482,26.893523600439078,911,22.941822173435785,911,3.951701427003293
resnet101,0.0014705882352941176,eps038centi_255,0.3495614927446111,-0.18535204976797104,0.8994043469429016,51.28755364806867,932,39.163090128755364,932,12.12446351931331
resnet152,0.0014705882352941176,eps038centi_255,0.336179565363917,-0.23210099339485168,0.9060108661651611,55.310199789695055,951,40.79915878023134,951,14.511041009463717
resnet18,0.0014705882352941176,eps038centi_255,0.28633730728875406,-0.12295742705464363,0.5980704724788666,31.50224215246637,892,27.57847533632287,892,3.923766816143498
resnet34,0.0014705882352941176,eps038centi_255,0.3749167926176704,-0.06135818362236023,0.8449611663818359,41.9284940411701,923,33.3694474539545,923,8.559046587215597
resnet50_timm,0.0014705882352941176,eps038centi_255,0.34834540887511345,-0.2046484649181366,0.7197608351707458,42.349137931034484,928,31.68103448275862,928,10.668103448275865
swin_base_patch4_window7_224,0.0014705882352941176,eps038centi_255,0.8631484474257518,0.38946305215358734,1.3182325959205627,37.708333333333336,960,11.979166666666668,960,25.729166666666668
swin_small_patch4_window7_224,0.0014705882352941176,eps038centi_255,0.599875940167335,-0.06866782903671265,0.8420089483261108,38.894681960375394,959,11.887382690302397,959,27.007299270073
swin_tiny_patch4_window7_224,0.0014705882352941176,eps038centi_255,0.6446087689403912,0.2297532632946968,0.8423113822937012,27.57894736842105,950,10.73684210526316,950,16.84210526315789
swinv2_tiny_window8_256,0.0014705882352941176,eps038centi_255,0.7783861563984829,0.21234923601150513,0.8342233300209045,26.222684703433924,961,6.555671175858481,961,19.667013527575442
vit_base_patch16_224,0.0014705882352941176,eps038centi_255,0.6424551428401721,0.11419430375099182,1.3133825063705444,52.94725956566702,967,25.232678386763187,967,27.71458117890383
vit_small_patch16_224,0.0014705882352941176,eps038centi_255,0.2503973021903407,-0.03484627418220043,1.2835379838943481,62.117903930131,916,57.096069868995635,916,5.021834061135365
vit_tiny_patch16_224,0.0014705882352941176,eps038centi_255,0.26125258975654675,-0.2185238003730774,0.5312160849571228,36.29213483146068,890,30.786516853932582,890,5.505617977528097
wide_resnet50_2,0.0014705882352941176,eps038centi_255,0.4174232353585072,-0.041526228189468384,1.1463350057601929,54.06546990496304,947,36.8532206969377,947,17.21224920802534
clip_rn101,0.00196078431372549,eps050centi_255,0.1850446127920815,-0.7152283191680908,0.11354228481650352,2.522935779816514,872,0.0,872,2.522935779816514
