backbone,linf_label,linf_eps,linf_tag,rho_l2_10,rho_linf_10,n_l2,source
dino_vits16,0.75/255,0.0029411764705882,eps075centi_255,0.16208680842968137,0.2974964016973123,909,linf_sweetspot
dinov2_vitb14,0.75/255,0.0029411764705882,eps075centi_255,0.3538796481573385,0.5544946766382646,963,linf_sweetspot
dinov2_vitl14,0.75/255,0.0029411764705882,eps075centi_255,0.41396509017442185,0.5931172841177386,965,linf_sweetspot
dinov2_vits14,0.75/255,0.0029411764705882,eps075centi_255,0.27744738928138035,0.4684273928230564,924,linf_sweetspot
efficientnet_b0,0.75/255,0.0029411764705882,eps075centi_255,0.1848166118650596,0.4610108315546757,923,linf_sweetspot
efficientnet_b1,0.75/255,0.0029411764705882,eps075centi_255,0.22543135417120386,0.575262031657533,932,linf_sweetspot
efficientnet_b3,0.75/255,0.0029411764705882,eps075centi_255,0.45681465954810996,0.7452114094904925,936,linf_sweetspot
mixer_b16_224,0.75/255,0.0029411764705882,eps075centi_255,0.42511100753630693,0.5905264614993914,912,linf_sweetspot
mobilenetv3_large_100,0.75/255,0.0029411764705882,eps075centi_255,0.3222784052292589,0.3967534500160825,911,linf_sweetspot
resnet101,0.75/255,0.0029411764705882,eps075centi_255,0.4129505236230564,0.3693127917939374,932,linf_sweetspot
resnet152,0.75/255,0.0029411764705882,eps075centi_255,0.41279475535225707,0.3477861173647909,951,linf_sweetspot
resnet18,0.75/255,0.0029411764705882,eps075centi_255,0.28819647563503326,0.3689032977676985,892,linf_sweetspot
resnet34,0.75/255,0.0029411764705882,eps075centi_255,0.3867724140754234,0.4351591350882504,923,linf_sweetspot
resnet50_timm,0.75/255,0.0029411764705882,eps075centi_255,0.4111454965732778,0.3744573541879599,928,linf_sweetspot
swin_base_patch4_window7_224,0.75/255,0.0029411764705882,eps075centi_255,0.9405520446487394,0.8724141051581398,960,linf_sweetspot
swin_small_patch4_window7_224,0.75/255,0.0029411764705882,eps075centi_255,0.5597570826468057,0.6050976203963745,959,linf_sweetspot
swin_tiny_patch4_window7_224,0.75/255,0.0029411764705882,eps075centi_255,0.6743491233879824,0.7269881936177423,950,linf_sweetspot
swinv2_tiny_window8_256,0.75/255,0.0029411764705882,eps075centi_255,0.7491039886178481,0.7968221979885755,961,linf_sweetspot
vit_base_patch16_224,0.75/255,0.0029411764705882,eps075centi_255,0.6797824929813953,0.6941207682064281,967,linf_sweetspot
vit_small_patch16_224,0.75/255,0.0029411764705882,eps075centi_255,0.3455488041209107,0.3953843497410545,916,linf_sweetspot
vit_tiny_patch16_224,0.75/255,0.0029411764705882,eps075centi_255,0.3356461202664507,0.3364109044773943,890,linf_sweetspot
wide_resnet50_2,0.75/255,0.0029411764705882,eps075centi_255,0.47952343180903156,0.4750267875547398,947,linf_sweetspot
clip_rn101,1/255,0.00392156862745098,eps100centi_255_old,0.27714526211114876,0.1288688918302694,872,linf_imagenet100_old
clip_rn50,1/255,0.00392156862745098,eps100centi_255_old,0.3171452948032911,0.16350824254505447,851,linf_imagenet100_old
clip_vit_l14,1/255,0.00392156862745098,eps100centi_255_old,0.19992844506710483,0.17414002555290686,953,linf_imagenet100_old
clip_vitb16,1/255,0.00392156862745098,eps100centi_255_old,0.4871564002688542,0.31154649936910417,919,linf_imagenet100_old
convnext_base,1/255,0.00392156862745098,eps100centi_255_old,0.5725990512983969,0.9033308254957784,961,linf_imagenet100_old
convnext_large,1/255,0.00392156862745098,eps100centi_255_old,0.45173961811716845,0.5578871556144227,969,linf_imagenet100_old
convnext_small,1/255,0.00392156862745098,eps100centi_255_old,0.49669211588658824,0.6367127468930337,965,linf_imagenet100_old
convnext_tiny,1/255,0.00392156862745098,eps100centi_255_old,0.5658422124472882,0.5993505703017674,953,linf_imagenet100_old
deit3_large_patch16_224,1/255,0.00392156862745098,eps100centi_255_old,0.42808065947300644,0.7451983754359048,975,linf_imagenet100_old
deit3_medium_patch16_224,1/255,0.00392156862745098,eps100centi_255_old,1.0118145020198757,0.762633317497333,950,linf_imagenet100_old
deit3_small_patch16_224,1/255,0.00392156862745098,eps100centi_255_old,0.43278746652538946,0.8467118601168173,946,linf_imagenet100_old
deit3_vitb16,1/255,0.00392156862745098,eps100centi_255_old,0.43492634625814375,0.950463805493996,963,linf_imagenet100_old
deit_base_patch16_224,1/255,0.00392156862745098,eps100centi_255_old,0.7363539674202184,0.7629693441617497,953,linf_imagenet100_old
deit_small_patch16_224,1/255,0.00392156862745098,eps100centi_255_old,0.610073080433267,0.6575575967157792,932,linf_imagenet100_old
deit_tiny,1/255,0.00392156862745098,eps100centi_255_old,0.512631399519897,0.5124512937613845,885,linf_imagenet100_old
densenet121,1/255,0.00392156862745098,eps100centi_255_old,0.35332901932513683,0.39191213089173615,911,linf_imagenet100_old
densenet201,1/255,0.00392156862745098,eps100centi_255_old,0.27420028625585946,0.3582435212637174,929,linf_imagenet100_old
dino_resnet50,1/255,0.00392156862745098,eps100centi_255_old,0.35247463992915584,0.38150703001047503,887,linf_imagenet100_old
dino_vitb16,1/255,0.00392156862745098,eps100centi_255_old,0.1702742604116253,0.3239327887382175,917,linf_imagenet100_old
dino_vitb8,1/255,0.00392156862745098,eps100centi_255_old,0.1266468909845102,0.46326395342192583,930,linf_imagenet100_old
dino_vits16,1/255,0.00392156862745098,eps100centi_255_old,0.16208680842968137,0.38239434118925586,909,linf_imagenet100_old
dinov2_vitb14,1/255,0.00392156862745098,eps100centi_255_old,0.3538796481573385,0.6063948230222951,963,linf_imagenet100_old
dinov2_vitl14,1/255,0.00392156862745098,eps100centi_255_old,0.41396509017442185,0.6608159256756707,965,linf_imagenet100_old
dinov2_vits14,1/255,0.00392156862745098,eps100centi_255_old,0.27744738928138035,0.5185924702116227,924,linf_imagenet100_old
efficientnet_b0,1/255,0.00392156862745098,eps100centi_255_old,0.1848166118650596,0.5799654358316655,923,linf_imagenet100_old
efficientnet_b1,1/255,0.00392156862745098,eps100centi_255_old,0.22543135417120386,0.6777702890526216,932,linf_imagenet100_old
efficientnet_b3,1/255,0.00392156862745098,eps100centi_255_old,0.45681465954810996,0.7871617371993507,936,linf_imagenet100_old
mixer_b16_224,1/255,0.00392156862745098,eps100centi_255_old,0.42511100753630693,0.6222185412956142,912,linf_imagenet100_old
mobilenetv3_large_100,1/255,0.00392156862745098,eps100centi_255_old,0.3222784052292589,0.4139251273258471,911,linf_imagenet100_old
resnet101,1/255,0.00392156862745098,eps100centi_255_old,0.4129505236230564,0.35702897128269484,932,linf_imagenet100_old
resnet152,1/255,0.00392156862745098,eps100centi_255_old,0.41279475535225707,0.33194126360845644,951,linf_imagenet100_old
resnet18,1/255,0.00392156862745098,eps100centi_255_old,0.28819647563503326,0.3893300054521682,892,linf_imagenet100_old
resnet34,1/255,0.00392156862745098,eps100centi_255_old,0.3867724140754234,0.4377751634453988,923,linf_imagenet100_old
resnet50_timm,1/255,0.00392156862745098,eps100centi_255_old,0.4111454965732778,0.3579422114564421,928,linf_imagenet100_old
swin_base_patch4_window7_224,1/255,0.00392156862745098,eps100centi_255_old,0.9405520446487394,0.7835801149573971,960,linf_imagenet100_old
swin_small_patch4_window7_224,1/255,0.00392156862745098,eps100centi_255_old,0.5597570826468057,0.542637850169676,959,linf_imagenet100_old
swin_tiny_patch4_window7_224,1/255,0.00392156862745098,eps100centi_255_old,0.6743491233879824,0.6422577873919622,950,linf_imagenet100_old
swinv2_tiny_window8_256,1/255,0.00392156862745098,eps100centi_255_old,0.7491039886178481,0.7183445189752474,961,linf_imagenet100_old
vit_base_patch16_224,1/255,0.00392156862745098,eps100centi_255_old,0.6797824929813953,0.6697595553972067,967,linf_imagenet100_old
vit_small_patch16_224,1/255,0.00392156862745098,eps100centi_255_old,0.3455488041209107,0.43648548200107895,916,linf_imagenet100_old
vit_tiny_patch16_224,1/255,0.00392156862745098,eps100centi_255_old,0.3356461202664507,0.34890394442255257,890,linf_imagenet100_old
wide_resnet50_2,1/255,0.00392156862745098,eps100centi_255_old,0.47952343180903156,0.47830778385612627,947,linf_imagenet100_old
